claim,surface,capability_state,decision,owner,review_cadence,notes
"AI semantic search returns semantically similar results","public/llms.txt:23; llms-full.txt:79; public/.well-known/mcp/server-card.json:64; services/edge/src/mcp-server.ts:580; services/edge/src/mcp-tools.ts:240; docs/api/openapi.yaml:355; services/worker/src/api/v1/docs.ts:1693; docs/api/mcp-tools.md (marked 'Status: Production')","OFF and inoperable: ENABLE_SEMANTIC_SEARCH resolves false in prod (DB row wins over env=true); credential_embeddings has 0 rows on the rig; edge search_credentials is ungated and falls back to literal ILIKE %query% (mcp-tools.ts:660-664) — turning the flag on does not make the claim true","HEDGE","RTE (hedge copy); founder (final)","daily","Caveat language: premortem SS5.1 row 1 + runbook SS3.1. Copy the hedge pattern already in-repo at public/.well-known/mcp/server-card.json:246 ('conditionally available'). Probes A-3.1a/A-3.1b decide by Day 7; on FAIL escalate to RETRACT across all listed surfaces before launch."
"/ai/search priced at $0.010 per call ('AI semantic search')","src/pages/DevelopersPage.tsx:65 — public /developers price table","Priced offer for a capability that is disabled AND inoperable (see row 1)","RETRACT (recommended, pending founder sign-off)","founder","daily","Commercial representation, not marketing copy (premortem SS5.1, PM-G): a price attached to a disabled capability. Remove the priced /ai/search line from /developers unless A-3.1a passes semantically."
"Nessie AI assistant answers user queries","services/edge/src/mcp-tools.ts nessie_query tool; src/pages/DevelopersPage.tsx price table; assorted Nessie copy","Permanently OFF by founder directive 2026-08-01; no work may plan to activate it","HEDGE","RTE (copy); founder (directive owner)","daily","Caveat language: premortem SS5.1 row 2 and SS5.3. Daily probe asserts nessie_query fails closed. Because the directive is permanent, HEDGE here means stating unavailability plainly wherever the tool is described."
"/nessie/query priced at $0.010 per call ('AI assistant query')","src/pages/DevelopersPage.tsx — same public price table as /ai/search","Priced offer for a capability that is deliberately and permanently disabled","RETRACT (recommended, pending founder sign-off)","founder","daily","Second priced dead offer; absent from both prior documents until premortem SS5.1 flagged it. There is no soak outcome that can make this claim true, so HEDGE is not available — retract or keep knowingly false."
"AI fraud scoring (document integrity score)","docs/wiki/TECHNICAL_SECURITY_WIKI.md ('For Partners, Investors, and Integration Teams'); regulator-facing privacy filings","computeIntegrityScore has no caller anywhere in the codebase","HEDGE","RTE","daily","Caveat language: premortem SS5.1 row 3, SS4. State what is measured vs asserted vs NOT asserted per CLAUDE.md SS1.5."
"Fraud detection operates on customer documents","docs/wiki/TECHNICAL_SECURITY_WIKI.md; six regulator-facing privacy filings (Kenya ODPC, South Africa, Thailand, Colombia) declaring anti-fraud detection as an active processing activity","ENABLE_AI_FRAUD=false and ENABLE_FRAUD_DETECTION=false in prod; results are filtered out of all six display surfaces","HEDGE","founder (filings); RTE (probe)","daily","Claims probe A-3.3 daily with flags ON on the rig (runbook SS3.3). If the probe fails, the six regulator filings need a remediation plan — this escalates beyond SOC 2. Caveat pointers: premortem SS5.1 row 4."
"Fraud detection is a 'Continuous' operating control (CC3.3: 'Fraud risk considered — Fraud detection (Nessie), abuse monitoring')","docs/compliance/soc2-type2-evidence-matrix.md:42 — asserted directly to the SOC 2 auditor","Inoperative in prod (flags false, no display surface, Nessie permanently off) while described to the auditor as continuously operating","HEDGE (recommended: correct the matrix wording BEFORE the auditor sees it)","founder + RTE","daily","An inoperative control described to an auditor as continuous is a material-misstatement risk — worse than not having the control (runbook SS3.3). A 'Continuous' control also needs continuous evidence: A-3.3 sampled all 7 days, not one run."
"Visual fraud detection is available","Advertised per premortem SS5.1 row 5","Endpoint returns HTTP 410 unconditionally","HEDGE","RTE","daily","Daily probe asserts the documented 410. Caveat language: premortem SS5.1 row 5."
"AdES electronic signature verification / eIDAS compliance","sdks/mcp-server/src/index.ts:213 and sdks/langchain-ts/src/index.ts:242 (published npm packages, reaching every MCP and LangChain client); src/lib/copy.ts:3312 renders 'qualified trust service provider' with no AdES flag row and a gate that fails open to an env var","Defaults to aws_kms; no AWS account exists (memory/feedback_no_aws.md); ENABLE_ADES_SIGNATURES has no switchboard row and resolves fail-OPEN via env fallback","HEDGE","RTE (corrective npm release if false)","daily","A false claim in a published package cannot be retracted by editing a web page — it needs a corrective release (runbook SS3.2). Probe A-3.2 from clean installs of both published SDKs, known-good and known-bad signatures. Caveat pointers: premortem SS5.1 row 6."
"Compliance engine enforces compliance rules","Advertised per premortem SS5.1 row 7","ENABLE_COMPLIANCE_ENGINE gates nothing","HEDGE","RTE","daily","Caveat language: premortem SS5.1 row 7."
