flag,resolution_path,current_rig_env_value,current_rig_db_row,decision,mechanism,off_rationale,probe,call_site
ENABLE_SEMANTIC_SEARCH,db-table-ttl60s (aiFeatureGate direct switchboard_flags read; kill-switchable fail-CLOSED; env never re-opens),unset,false,ON,seed-db-row,,"producer exists: POST /api/v1/ai/embed and /ai/embed/batch (gated by ENABLE_AI_EXTRACTION row=true; JWT + org + AI credits) -> generateAndStoreEmbedding upserts credential_embeddings. Probe: SELECT count(*) FROM credential_embeddings (baseline 0) delta >0 after batch embed; then POST /api/v1/ai/search -> ai_usage_events delta >0","services/worker/src/middleware/aiFeatureGate.ts:165,172; services/worker/src/api/v1/router.ts:271,357; producer services/worker/src/ai/embeddings.ts:283,476 via services/worker/src/api/v1/ai-embed.ts:13"
ENABLE_AI_FRAUD,db-table-ttl60s (aiFeatureGate; kill-switchable fail-CLOSED),false (registry/boot fallback only — DB row is source of truth),false,ON,seed-db-row,"caveat: also flip env false->true on final revision for mirror hygiene (env is dead while row exists, but a false env contradicting a true row is the 0363-style trap in reverse)","POST /api/v1/ai/integrity with fixture anchor -> integrity_scores count delta >0 (or review_queue_items delta)","services/worker/src/middleware/aiFeatureGate.ts:166,173; services/worker/src/api/v1/router.ts:363,366,374"
ENABLE_FRAUD_DETECTION,frontend-only db-rpc get_flag 30s cache (worker NEVER reads this flag),unset,false,ON,seed-db-row,"caveat: no worker consumer exists — no server-side row-count delta is possible; flag gates UI banners only (ExtractionQualityBanner). Honest probe is a frontend UAT observation, not a DB delta","n/a — no worker call site; UI-only. Do NOT claim a server probe for this flag","src/lib/switchboard.ts:209; src/lib/fraudDetection.ts:4; src/components/anchor/ExtractionQualityBanner.tsx:8"
ENABLE_COMPLIANCE_ENGINE,NO CONSUMER — registered in flagRegistry DB_FLAGS list only; zero getFlag/get_flag/table-read call sites anywhere in worker or frontend (repo-wide grep),unset,false,OFF,n/a,"dead flag — seeding the row changes nothing the worker or frontend ever reads (audit-mirror-only in the 0363 sense, except nothing even mirrors it); declared untested. Turning it ON would be a false-green",n/a — no consuming code path exists to probe,services/worker/src/middleware/flagRegistry.ts:69 (registration only)
ENABLE_EXPIRY_ALERTS,registry-boot-snapshot (flagRegistry.getFlag; DB row read ONCE at init(); no TTL),unset,false,ON,seed-then-restart,"restart-ordering: row must be true BEFORE the final deploy or the running worker snapshot stays false for the whole soak","forced POST /jobs/check-credential-expiry with fixture (SECURED anchor not_after <=7d + webhook_endpoints row) -> webhook_delivery_logs delta >0 for event compliance.document_expiring (transits ENABLE_OUTBOUND_WEBHOOKS live get_flag too)","services/worker/src/routes/cron.ts:1392; registry list services/worker/src/middleware/flagRegistry.ts:68"
ENABLE_ORG_CREDIT_ENFORCEMENT,env-direct (config.enableOrgCreditEnforcement; DB row is AUDIT MIRROR ONLY per migration 0363 — worker never reads the row),true,false (AUDIT MIRROR — contradicts env; the exact 0363 trap live),ON,env-on-revision,"already ON via env. Also UPDATE mirror row true in the same seed pass so audit row and runtime agree. Caveat carried per CTO ruling: PR #2050 anchor_quota defect is a PROD-enablement concern, not a rig one — code path proven at Gate 0","org_credit_deductions count delta >0 after connector-artifact drain or anchor enqueue debit (deduct_org_credit / debit_and_enqueue_anchor RPC writes)","services/worker/src/utils/orgCredits.ts:66; supabase/migrations/0363_g4_enable_org_credit_enforcement_flag.sql:62"
ENABLE_RULES_ENGINE,env-direct (raw process.env read per run; skips ONLY on literal 'false' — unset means ENABLED),unset (= enabled by default),no row (get_flag resolves false — red herring; worker never calls get_flag for it),ON,env-on-revision,"set explicit 'true' so the revision env is self-documenting; behavior identical to unset. The premortem's 'job 200s while doing nothing' is empty-queue behavior (organization_rules/organization_rule_events baseline 0), not flag state — fixture seeding (separate BL item) is what makes the probe meaningful","seed organization_rules + a PENDING organization_rule_events row -> forced POST /jobs/rules-engine -> organization_rule_events status PENDING->PROCESSED delta + organization_rule_executions count delta >0",services/worker/src/jobs/rules-engine.ts:344
ENABLE_RULE_ACTION_DISPATCHER,env-direct (raw process.env; skips only on 'false'; unset = enabled),unset (= enabled),no row (not worker-read),ON,env-on-revision,set explicit 'true' for self-documentation; same default-ON semantics as rules engine,"forced POST /jobs/rule-action-dispatcher after rules-engine pass -> organization_rule_executions dispatched/completed status delta >0",services/worker/src/jobs/rule-action-dispatcher.ts:1030
ENABLE_QUEUE_REMINDERS,env-direct (raw process.env; skips only on 'false'; unset = enabled),unset (= enabled),no row (not worker-read),ON,env-on-revision,"set explicit 'true'. NOTE: /jobs/queue-reminders has NO Cloud Scheduler binding on the rig (24-job census) — without a forced run or new binding this path is never exercised","forced POST /jobs/queue-reminders with stale-queue fixture -> organization_rule_executions reminder-row delta >0",services/worker/src/jobs/queue-reminders.ts:148
ENABLE_DOCUSIGN_OAUTH,env-direct module-load killSwitch (requires literal 'true'; read ONCE at boot) + production Zod boot guards,unset (surface 503),no row (not worker-read),OFF,n/a,"no third-party credentials on rig — declared untested. Setting true CRASHES the worker at boot: production requires DOCUSIGN_INTEGRATION_KEY + DOCUSIGN_CLIENT_SECRET (config.ts:678-696) + INTEGRATION_STATE_HMAC_SECRET (config.ts:666-681) + GCP_KMS_INTEGRATION_TOKEN_KEY (config.ts:683-697); none bound on revision 00011-bif",n/a — surface stays 503; a synthetic OAuth flow cannot be probed without vendor creds,"services/worker/src/index.ts:488,497; services/worker/src/middleware/integrationKillSwitch.ts:27-42; services/worker/src/config.ts:645,675"
ENABLE_DOCUSIGN_WEBHOOK,env-direct module-load killSwitch (requires 'true'; read once at boot); production boot guard requires DOCUSIGN_CONNECT_HMAC_SECRET (bound on rig),true,no row (not worker-read),ON,env-on-revision,"already ON and boot-satisfiable (docusign_connect_hmac_secret bound). Inbound events must be SYNTHETIC signed Connect posts — no real DocuSign account sends to the rig; declared as synthetic-signed coverage, not vendor-E2E","signed synthetic Connect POST to /api/v1/webhooks/docusign -> docusign_webhook_nonces count delta +1; with enqueue on: connector_artifact count delta +1","services/worker/src/index.ts:279; services/worker/src/config.ts:689; writes services/worker/src/api/v1/webhooks/docusign.ts:537"
ENABLE_DRIVE_OAUTH,env-direct module-load killSwitch (requires 'true') + production Zod boot guards,unset (surface 503),no row (not worker-read),OFF,n/a,"no third-party credentials on rig — declared untested. Setting true CRASHES boot: production requires GOOGLE_OAUTH_CLIENT_ID + GOOGLE_OAUTH_CLIENT_SECRET (config.ts:625) + INTEGRATION_STATE_HMAC_SECRET + GCP_KMS_INTEGRATION_TOKEN_KEY; none bound",n/a — surface stays 503,"services/worker/src/index.ts:481; services/worker/src/config.ts:625,645"
ENABLE_DRIVE_WEBHOOK,env-direct module-load killSwitch (requires 'true'; read once at boot); no boot secret constraint,true,no row (not worker-read),ON,env-on-revision,"already ON. Real push notifications require a registered watch channel (needs Drive OAuth, absent) — coverage is synthetic-notification only against a seeded drive_watch_state fixture; declared partial","synthetic Drive push POST to /api/v1/webhooks/drive with seeded drive_watch_state channel fixture -> drive_webhook_nonces delta +1 and job_queue rows of type google_drive.file_changed delta","services/worker/src/api/v1/router.ts:437; services/worker/src/middleware/integrationKillSwitch.ts:27-42"
ENABLE_DRIVE_CHANGES_RUNNER,env-direct (raw process.env; requires literal 'true'; NOT in config.ts schema at all),true,no row (not worker-read),ON,env-on-revision,"already ON. Runner cannot call the real Drive changes API without member_integrations OAuth tokens — enqueue/claim mechanics are probeable, the vendor fetch is not; declared partial","after synthetic drive webhook: job_queue google_drive.file_changed rows claimed/processed status delta (fetch step will fail w/o tokens — count the claim transition, not completion)",services/worker/src/api/v1/webhooks/drive.ts:247
